"id","lastVisitTime","title","typedCount","url","visitCount","cnt","cnt1"
"1565","9/5/2017 5:43:11 AM","DRONE : EMOTION :: - Google Search","0","https://www.google.co.in/search?q=DRONE+%3A+EMOTION+%3A%3A&oq=DRONE+%3A+EMOTION+%3A%3A&aqs=chrome..69i57j0l5.248j0j9&sourceid=chrome&ie=UTF-8","1","3000102","2000001"
"1564","9/5/2017 5:42:12 AM","BLUSH : EMBARRASSMENT :: - Google Search","0","https://www.google.co.in/search?q=BLUSH+%3A+EMBARRASSMENT+%3A%3A&oq=BLUSH+%3A+EMBARRASSMENT+%3A%3A&aqs=chrome..69i57j0l2.235j0j4&sourceid=chrome&ie=UTF-8","1","3000103","2000001"
"1563","9/5/2017 5:41:39 AM","Logical Deduction Section 2 - Logical Reasoning Questions and Answers","0","https://www.indiabix.com/logical-reasoning/logical-deduction/052001","1","3000104","2000001"
"1562","9/5/2017 5:41:37 AM","All branches are flowers. All flowers are leaves. - Google Search","0","https://www.google.co.in/search?q=All+branches+are+flowers.+All+flowers+are+leaves.&oq=All+branches+are+flowers.+All+flowers+are+leaves.&aqs=chrome..69i57j0.338j0j4&sourceid=chrome&ie=UTF-8","1","3000105","2000001"
"1561","9/5/2017 5:39:40 AM","PaGaLGuY : The Education Network","0","https://www.pagalguy.com/news/reasoning-and-syllogism-quiz-for-banking-entrance-exams-34141102","2","3000106","2000001"
"1560","9/5/2017 5:39:34 AM","Some exams are tests. No exam is a question - Google Search","0","https://www.google.co.in/search?q=Some+exams+are+tests.+No+exam+is+a+question&oq=Some+exams+are+tests.+No+exam+is+a+question&aqs=chrome..69i57.299j0j9&sourceid=chrome&ie=UTF-8","1","3000107","2000001"
"1559","9/5/2017 5:38:50 AM","All water is liquid All liquid is wet. - Google Search","0","https://www.google.co.in/search?q=All+water+is+liquid+All+liquid+is+wet.&oq=All+water+is+liquid+All+liquid+is+wet.&gs_l=psy-ab.3...4681.4681.0.5484.1.1.0.0.0.0.103.103.0j1.1.0....0...1.1.64.psy-ab..0.0.0.CD-eZXALASA","1","3000108","2000001"
"1558","9/5/2017 5:38:44 AM","All water is liquid. All liquid is wet. - Google Search","0","https://www.google.co.in/search?q=All+water+is+liquid.+All+liquid+is+wet.&oq=All+water+is+liquid.+All+liquid+is+wet.&gs_l=psy-ab.3..0i71k1l4.0.0.0.13849.0.0.0.0.0.0.0.0..0.0....0...1..64.psy-ab..0.0.0.razlwGaXdec","1","3000109","2000001"
"1557","9/5/2017 5:38:28 AM","All water is liquid. All liquid is wet. - Google Search","0","https://www.google.co.in/search?q=All+water+is+liquid.+All+liquid+is+wet.&oq=All+water+is+liquid.+All+liquid+is+wet.&aqs=chrome..69i57.197j0j4&sourceid=chrome&ie=UTF-8","1","3000110","2000001"
"1556","9/5/2017 5:37:57 AM","Reasoning Aptitude Test for Syllogism & Blood Relations - Recruitmentvoice","0","http://recruitmentvoice.com/reasoning-aptitude-test-for-syllogism-blood-relations/","1","3000111","2000001"
"1555","9/5/2017 5:37:51 AM","No mat is pot All pots are bats - Google Search","0","https://www.google.co.in/search?q=No+mat+is+pot+All+pots+are+bats&oq=No+mat+is+pot+All+pots+are+bats&aqs=chrome..69i57j0.501j0j7&sourceid=chrome&ie=UTF-8","1","3000112","2000001"
"1554","9/5/2017 5:32:26 AM","Although this version has been proof-read (n)if any of these are brought to our attention; (o) some of which may be obvious even without reference to the original text - Google Search","0","https://www.google.co.in/search?q=Although+this+version+has+been+proof-read+%28n%29if+any+of+these+are+brought+to+our+attention%3B+%28o%29+some+of+which+may+be+obvious+even+without+reference+to+the+original+text&oq=Although+this+version+has+been+proof-read+%28n%29if+any+of+these+are+brought+to+our+attention%3B+%28o%29+some+of+which+may+be+obvious+even+without+reference+to+the+original+text&gs_l=psy-ab.3..0i71k1l4.56722.56722.0.57048.1.1.0.0.0.0.0.0..0.0....0...1.1.64.psy-ab..1.0.0.L0voWLoj5GU","1","3000113","2000001"
"1553","9/5/2017 5:31:28 AM","police has/have - Google Search","0","https://www.google.co.in/search?q=police+has%2Fhave&oq=police+has%2Fhave&gs_l=psy-ab.3..0i22i30k1.172926.177133.0.177550.15.15.0.0.0.0.105.1401.6j8.14.0....0...1.1.64.psy-ab..1.14.1400...0j35i39k1j0i67k1j0i46i67k1j46i67k1j0i131k1.HaMcPC-1eqI","1","3000114","2000001"
"1552","9/5/2017 5:28:30 AM","abet meaning - Google Search","0","https://www.google.co.in/search?q=abet+meaning&oq=abet+meaning&gs_l=psy-ab.3..0l2j0i20k1j0.2869.5939.0.6162.5.5.0.0.0.0.128.554.2j3.5.0....0...1.1.64.psy-ab..0.5.553.Oi3mZ0OxiDI","1","3000115","2000001"
"1551","9/5/2017 5:28:23 AM","abet me - Google Search","0","https://www.google.co.in/search?q=abet+me&oq=abet+me&gs_l=psy-ab.3...0.0.1.32.0.0.0.0.0.0.0.0..0.0....0...1..64.psy-ab..0.0.0.A5p44ksUaEU","1","3000116","2000001"
"1550","9/5/2017 5:28:11 AM","albet - Google Search","0","https://www.google.co.in/search?q=albet&oq=albet&gs_l=psy-ab.3..0i10k1j0j0i10k1l2.4362.5338.0.5471.5.5.0.0.0.0.119.513.3j2.5.0....0...1.1.64.psy-ab..0.5.513...35i39k1j0i67k1j0i131k1.gK_kLvI0IY4","1","3000117","2000001"
"1549","9/5/2017 5:28:04 AM","fixate - Google Search","0","https://www.google.co.in/search?q=fixate&oq=fixate&gs_l=psy-ab.3..0i20k1j0l2j0i20k1.7297.8449.0.8900.6.6.0.0.0.0.111.610.2j4.6.0....0...1.1.64.psy-ab..0.6.609...35i39k1j0i131k1j0i67k1.aSSLtqEokYo","1","3000118","2000001"
"1548","9/5/2017 5:27:55 AM","dissuade - Google Search","0","https://www.google.co.in/search?q=dissuade&oq=dissuade&gs_l=psy-ab.3..0i20k1j0l3.6958.8194.0.8618.8.8.0.0.0.0.114.789.6j2.8.0....0...1.1.64.psy-ab..0.8.788...35i39k1j0i67k1.6IeU-8O89X0","1","3000119","2000001"
"1547","9/5/2017 5:27:45 AM","foment - Google Search","0","https://www.google.co.in/search?q=foment&oq=foment&gs_l=psy-ab.3..0i67k1j0l2j0i67k1.37394.38272.0.38927.6.6.0.0.0.0.123.632.2j4.6.0....0...1.1.64.psy-ab..0.6.632...35i39k1j0i131k1j0i20k1.baZmBs_74k8","1","3000120","2000001"
"1546","9/5/2017 5:27:06 AM","discretion meaning - Google Search","0","https://www.google.co.in/search?q=discretion+meaning&oq=discretion+meaning&gs_l=psy-ab.3..0i67k1j0j0i7i30k1j0.6336.6336.0.6986.1.1.0.0.0.0.92.92.1.1.0....0...1.1.64.psy-ab..0.1.91.ZalQ9tPOrG8","1","3000121","2000001"
"1545","9/5/2017 5:26:58 AM","discretionary meaning - Google Search","0","https://www.google.co.in/search?q=discretionary+meaning&oq=discretio&gs_l=psy-ab.1.1.0i67k1j0i20k1j0i67k1j0i20k1.20207.22021.0.24876.9.9.0.0.0.0.133.874.2j6.8.0....0...1.1.64.psy-ab..1.8.873...35i39k1.qPpyNXd5gBw","1","3000122","2000001"
"1544","9/5/2017 5:26:32 AM","sterling meaning - Google Search","0","https://www.google.co.in/search?q=sterling+meaning&oq=sterling+meanin&gs_l=psy-ab.1.0.0l4.10427.15671.0.17911.15.15.0.0.0.0.147.1646.5j10.15.0....0...1.1.64.psy-ab..0.15.1645...35i39k1j46i67k1j0i67k1j0i20k1.AMJJ1S6bVgA","1","3000123","2000001"
"1543","9/5/2017 5:26:12 AM","sterling - Google Search","0","https://www.google.co.in/search?q=sterling+&oq=sterling+&gs_l=psy-ab.3..0i67k1l4.2254.2254.0.3239.1.1.0.0.0.0.107.107.0j1.1.0....0...1.1.64.psy-ab..0.1.107.J405kEodrZs","1","3000124","2000001"
"1542","9/5/2017 5:26:08 AM","sterling - Google Search","0","https://www.google.co.in/search?q=sterling&oq=sterling&aqs=chrome..69i57j0l5.3605j0j9&sourceid=chrome&ie=UTF-8","1","3000125","2000001"
"1540","9/5/2017 5:26:01 AM","congenial antonym - Google Search","0","https://www.google.co.in/search?q=congenial+antonym&oq=congenial+antoym&aqs=chrome.1.69i57j0.4595j0j7&sourceid=chrome&ie=UTF-8","2","3000126","2000001"
"1541","9/5/2017 5:25:39 AM","Congenial Synonyms, Congenial Antonyms | Thesaurus.com","0","http://www.thesaurus.com/browse/congenial","1","3000127","2000001"
"1539","9/5/2017 5:25:17 AM","CONGENIAL a - Google Search","0","https://www.google.co.in/search?q=CONGENIAL+a&oq=CONGENIAL+a&gs_l=psy-ab.3..0i71k1l4.0.0.0.4313.0.0.0.0.0.0.0.0..0.0....0...1..64.psy-ab..0.0.0.fgixqFSLHFs","1","3000128","2000001"
"1538","9/5/2017 5:25:12 AM","CONGENIAL a - Google Search","0","https://www.google.co.in/search?q=CONGENIAL+a&oq=CONGENIAL+a&gs_l=psy-ab.3..0l2j0i10k1j0.11329.15794.0.17400.4.4.0.0.0.0.112.402.3j1.4.0....0...1.1.64.psy-ab..0.4.402...35i39k1j0i13k1j0i131k1.BoLOvIshBN0","1","3000129","2000001"
